Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
515,1,-90.00,0.00,0.00,0
516,6,-91.37,12.68,34.69,0
517,3,-90.87,2.39,26.55,0
518,1,-90.00,0.00,0.00,0
519,3,-90.68,6.04,12.42,0
520,11,-93.72,14.00,130.64,0
521,17,-93.32,4.91,196.11,0
522,1,-90.54,19.74,113.62,0
523,6,-91.11,6.23,5.00,0
524,1,-90.00,0.00,0.00,0
525,5,87.53,40.28,438.55,1
526,1,-90.00,0.00,0.00,0
527,1,-90.00,0.00,0.00,0
528,1,-90.23,10.12,48.70,0
529,8,-91.83,7.51,42.75,0
530,2,-90.99,18.68,1.00,0
531,3,-91.16,6.44,121.85,0
532,5,-90.20,25.38,-164.19,0
533,4,-90.69,30.01,-85.21,0
534,13,-94.05,11.83,321.59,0
535,3,-90.74,21.70,-85.66,0
536,1,-90.60,15.01,108.23,0
537,4,-90.43,7.12,10.35,0
538,14,88.33,9.50,-311.83,1
539,1,-90.01,29.05,0.00,0
540,2,-90.01,19.89,0.00,0
541,1,-90.00,0.00,0.00,0
542,7,87.64,20.25,105.63,1
543,2,-90.68,6.48,81.11,0
544,10,-92.22,12.18,77.86,0
545,5,-91.11,26.72,2.00,0
546,1,-90.00,0.00,0.00,0
547,2,-90.81,29.35,131.46,0
548,1,-90.00,24.90,0.00,0
549,4,-91.02,12.39,94.42,0
550,4,-91.30,8.57,38.04,0
551,2,-90.36,42.91,0.00,0
552,6,-91.60,11.43,141.81,0
553,200,-44.59,0.15,199.05,0
554,4,-90.62,12.89,-55.23,0
555,1,-90.00,0.00,0.00,0
556,4,-91.16,8.37,138.21,0
557,1,-90.13,15.99,0.00,0
558,4,-91.13,17.64,-32.34,0
559,5,-90.81,17.73,3.00,0
560,1,-90.00,24.90,0.00,0
561,3,-91.04,8.95,31.30,0
562,1,-90.00,0.00,0.00,0
563,1,-90.00,0.00,0.00,0
564,1,-90.26,8.63,36.20,0
565,2,-90.58,36.02,90.92,0
566,200,-41.95,0.00,199.75,0
567,2,-90.73,18.75,80.57,0
568,1,-90.00,0.00,0.00,0
569,2,-90.93,4.43,37.76,0
570,9,-92.79,11.02,64.99,0
571,200,-44.72,0.19,281.60,0
572,8,-91.68,6.37,78.02,0
573,1,-90.00,0.00,0.00,0
574,15,87.55,8.64,-25.18,1
575,12,-92.06,13.13,39.13,0
576,6,-90.79,15.71,4.00,0
577,3,-90.95,9.65,2.00,0
578,1,-90.06,33.20,0.00,0
579,200,-40.79,0.00,199.75,0
580,7,-90.84,16.24,-89.77,0
581,4,-90.70,18.36,-33.15,0
582,1,-90.00,0.00,0.00,0
583,7,-92.09,9.58,226.75,0
584,5,-91.37,13.42,113.69,0
585,3,-91.41,7.58,61.45,0
586,1,-90.00,0.00,0.00,0
587,6,89.29,34.92,-113.45,1
588,9,-91.80,6.94,37.45,0
589,2,-90.83,12.44,1.00,0
590,6,-91.60,11.72,14.40,0
591,3,-91.14,31.90,1.00,0
592,8,-91.09,9.28,6.00,0
593,7,-91.63,16.05,98.23,0
594,1,-90.00,0.00,0.00,0
595,7,-91.64,9.00,-8.92,0
596,1,-90.00,0.00,0.00,0
597,6,-90.96,11.10,4.00,0
598,3,-90.91,11.35,2.00,0
599,7,-92.06,3.01,16.55,0
600,1,-90.00,0.00,0.00,0
601,2,-90.52,18.68,1.00,0
602,13,87.29,10.65,166.44,1
603,17,-92.85,5.60,132.31,0
604,1,-90.00,0.00,0.00,0
605,9,-91.63,5.83,96.66,0
606,3,-90.82,3.67,60.02,0
607,2,-90.83,16.60,1.00,0
608,1,-90.00,0.00,0.00,0
609,7,-92.47,4.96,276.18,0
610,3,-90.44,37.94,36.56,0
611,4,-90.59,22.52,1.00,0
612,4,-91.45,8.26,63.40,0
