Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
673,5,16.70,33.79,451.01,True
674,9,-2.36,16.28,463.58,False
675,2,16.21,32.31,89.78,True
676,3,17.93,35.08,284.44,True
677,7,-10.87,25.25,306.05,False
678,8,11.08,17.35,267.47,True
679,3,0.35,44.06,282.71,False
680,4,-15.24,10.38,44.70,False
681,2,-9.63,20.75,73.97,False
682,4,23.69,42.00,283.22,True
683,1,-8.21,35.66,57.15,False
684,6,1.55,18.90,219.88,True
685,6,9.73,27.33,301.60,True
686,3,1.07,50.90,393.89,False
687,3,-6.50,17.10,74.50,False
688,5,13.68,18.77,116.27,True
689,2,-10.00,38.53,44.79,False
690,3,19.84,35.84,295.06,True
691,7,-8.54,26.84,516.95,False
692,12,-4.24,8.96,238.27,True
693,8,-0.57,7.75,157.21,True
694,10,-9.47,19.81,378.43,True
695,4,13.83,37.29,220.40,True
696,5,-6.96,24.77,209.75,False
697,2,-12.81,18.19,45.97,False
698,5,-0.83,30.54,395.89,False
699,7,-23.88,5.93,144.68,False
700,4,13.65,29.85,209.90,True
701,8,-23.99,13.00,158.83,False
702,14,-35.97,7.72,140.44,False
703,5,-5.60,21.42,201.73,False
704,5,-20.89,1.21,5.43,False
705,10,-28.70,4.15,101.92,False
706,6,4.43,33.64,458.28,False
707,1,-9.13,38.03,33.45,False
708,1,-5.26,41.50,83.39,False
709,3,17.67,29.05,221.51,True
710,11,-14.00,8.39,134.73,True
711,3,19.29,37.07,175.14,True
712,6,7.36,28.94,413.96,False
713,4,17.61,36.21,193.13,True
714,5,25.09,40.22,422.52,True
715,4,-11.45,16.38,87.36,False
716,5,8.92,25.03,188.37,True
717,10,-1.47,12.02,167.27,True
718,7,-7.71,12.39,350.45,False
719,6,-18.45,0.00,25.55,False
720,11,-30.07,2.69,20.14,False
721,6,-2.36,16.18,442.45,False
722,4,15.81,21.70,116.06,True
723,9,0.08,7.97,66.54,True
724,3,12.27,32.04,160.63,True
725,5,-9.81,13.41,145.79,False
726,7,-13.72,17.86,108.93,False
727,3,16.15,32.37,301.56,True
728,10,-5.41,16.07,218.08,True
729,7,-16.03,14.10,99.49,False
730,5,-6.21,21.29,174.54,False
731,7,-22.67,7.15,24.75,False
732,9,-20.71,9.99,174.05,False
733,1,-9.63,29.44,22.93,False
734,13,-4.67,8.85,209.65,True
735,4,21.19,43.27,340.72,True
736,6,-10.18,25.73,235.98,False
737,16,-50.39,0.00,14.90,False
738,4,-13.33,18.29,35.63,False
